L:0,I:0,T:240,D:an_In_stone,Q:48,O:0,L:0,N:3
L:0,I:65,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:66,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:67,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:68,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:69,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:70,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:71,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:72,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:73,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:74,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:75,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:76,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:77,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:78,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:79,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:80,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:81,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:82,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:83,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:84,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:85,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:86,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:87,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:88,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:89,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:90,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:91,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:92,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:93,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:94,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:95,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:96,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:97,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:98,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:99,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:100,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:101,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:102,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:103,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:104,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:105,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:106,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:107,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:108,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:109,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:110,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:111,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:112,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:113,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:114,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:115,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:116,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:117,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:118,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:119,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:120,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:121,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:122,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:123,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:124,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:125,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:126,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:127,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:128,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:129,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:130,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:131,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:132,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:133,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:134,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:135,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:136,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:137,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:138,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:139,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:140,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:141,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:142,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:143,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:144,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:145,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:146,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:147,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:148,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:149,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:150,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:151,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:152,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:153,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:154,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:155,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:156,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:157,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:158,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:159,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:160,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:161,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:162,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:163,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:164,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:165,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:166,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:167,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:168,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:169,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:170,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:171,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:172,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:173,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:174,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:175,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:176,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:177,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:178,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:179,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:180,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:181,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:182,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:183,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:184,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:185,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:186,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:187,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:188,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:189,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:190,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:191,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:192,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:193,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:194,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:195,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:196,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:197,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:198,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:199,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:200,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:201,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:202,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:203,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:204,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:205,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:206,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:207,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:208,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:209,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:210,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:211,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:212,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:213,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:214,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:215,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:216,T:113,D:a_human,Q:27,O:35,L:0,N:540
L:0,I:217,T:121,D:a_human,Q:42,O:32,L:0,N:0
L:0,I:218,T:120,D:a_human,Q:44,O:39,L:0,N:0
L:0,I:219,T:121,D:a_human,Q:37,O:50,L:0,N:0
L:0,I:220,T:120,D:a_human,Q:40,O:48,L:0,N:0
L:0,I:221,T:121,D:a_human,Q:31,O:46,L:0,N:0
L:0,I:222,T:121,D:a_human,Q:22,O:49,L:0,N:0
L:0,I:223,T:120,D:a_human,Q:21,O:45,L:0,N:0
L:0,I:224,T:121,D:a_human,Q:20,O:40,L:0,N:0
L:0,I:225,T:121,D:a_human,Q:18,O:37,L:0,N:0
L:0,I:226,T:120,D:a_human,Q:21,O:32,L:0,N:0
L:0,I:227,T:120,D:a_human,Q:42,O:35,L:0,N:0
L:0,I:228,T:112,D:a_human,Q:40,O:48,L:0,N:454
L:0,I:229,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:230,T:121,D:a_human,Q:29,O:36,L:0,N:0
L:0,I:231,T:121,D:a_human,Q:30,O:52,L:0,N:0
L:0,I:232,T:112,D:a_human,Q:31,O:37,L:0,N:0
L:0,I:233,T:120,D:a_human,Q:34,O:35,L:467,N:0
L:0,I:234,T:67,D:a_giant_tan_rat,Q:17,O:54,L:0,N:0
L:0,I:235,T:122,D:a_human,Q:31,O:52,L:0,N:1010
L:0,I:236,T:115,D:a_human,Q:29,O:50,L:585,N:1021
L:0,I:237,T:112,D:a_human,Q:38,O:38,L:555,N:0
L:0,I:238,T:108,D:a_human,Q:44,O:45,L:0,N:0
L:0,I:239,T:108,D:a_human,Q:37,O:45,L:0,N:0
L:0,I:240,T:108,D:a_human,Q:24,O:45,L:0,N:0
L:0,I:241,T:108,D:a_human,Q:22,O:45,L:0,N:0
L:0,I:242,T:108,D:a_human,Q:18,O:45,L:0,N:0
L:0,I:243,T:123,D:a_human,Q:42,O:42,L:0,N:0
L:0,I:244,T:119,D:a_human,Q:29,O:49,L:862,N:0
L:0,I:245,T:126,D:a_human,Q:44,O:48,L:0,N:553
L:0,I:246,T:112,D:a_human,Q:18,O:35,L:0,N:0
L:0,I:247,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:248,T:121,D:a_human,Q:32,O:52,L:0,N:0
L:0,I:249,T:116,D:a_human,Q:29,O:51,L:0,N:0
L:0,I:250,T:121,D:a_human,Q:33,O:50,L:0,N:0
L:0,I:251,T:120,D:a_human,Q:33,O:34,L:0,N:0
L:0,I:252,T:110,D:a_fighter,Q:33,O:50,L:0,N:480
L:0,I:253,T:110,D:a_fighter,Q:33,O:51,L:566,N:0
L:0,I:254,T:117,D:a_human,Q:29,O:50,L:0,N:479
L:0,I:255,T:123,D:a_human,Q:33,O:48,L:0,N:475
L:0,I:256,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:257,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:258,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:259,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:260,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:261,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:262,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:263,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:264,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:265,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:266,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:267,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:268,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:269,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:270,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:271,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:272,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:273,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:274,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:275,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:276,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:277,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:278,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:279,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:280,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:281,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:282,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:283,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:284,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:285,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:286,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:287,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:288,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:289,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:290,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:291,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:292,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:293,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:294,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:295,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:296,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:297,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:298,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:299,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:300,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:301,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:302,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:303,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:304,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:305,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:306,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:307,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:308,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:309,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:310,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:311,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:312,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:313,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:314,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:315,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:316,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:317,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:318,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:319,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:320,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:321,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:322,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:323,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:324,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:325,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:326,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:327,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:328,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:329,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:330,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:331,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:332,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:333,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:334,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:335,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:336,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:337,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:338,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:339,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:340,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:341,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:342,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:343,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:344,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:345,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:346,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:347,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:348,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:349,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:350,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:351,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:352,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:353,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:354,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:355,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:356,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:357,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:358,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:359,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
L:0,I:360,T:0,D:a_hand_axe,Q:0,O:0,L:0,N:0
